Substation,P_gross,Q_net,storage,solar,wind,hydro,other
PEHE,79.51599999999999,33.697859725,2.072,14.692999999999998,103.919,0.0,11.206
STEW,454.969,-130.177029739,60.887,133.51500000000001,322.11899999999997,0.256,109.664
HAWP,165.098,-53.400947518,56.974000000000004,89.64699999999999,105.391,1.341,32.87
HARK,537.1,-99.86218946700001,21.401000000000003,266.745,414.89900000000006,25.508999999999993,163.29800000000003
BLHI,63.03512979999999,-15.859551797,3.183,23.99,193.438,3.0759999999999996,33.491
COCK,341.84200000000004,13.104821270999995,16.467000000000002,69.965,280.029,2.238,70.48100000000001
HUNE,222.82600000000002,14.581934391000003,0.195,24.166999999999998,229.691,28.853,62.197
LOAN,386.90200000000004,56.009362593999995,70.24299999999998,64.527,254.57199999999997,7.737,133.29600000000002
NORT,318.967,-117.595482098,26.242,141.936,142.45000000000002,1.313,509.401
STHA,272.09399999999994,-23.526324099999997,0.275,34.068999999999996,178.79500000000002,82.378,95.278
TEAL,130.379,-12.921263551,11.655999999999999,97.111,66.566,9.339,34.840999999999994
TUMM,43.404,26.545516553,0.03,3.8600000000000003,0.9750000000000001,91.674,10.993
WIYH,317.19299999999987,-28.694437994,20.329999999999995,40.574999999999996,170.32200000000003,68.905,48.833
BEAU,169.723,-1.3610303509999981,0.489,23.416,81.865,98.44100000000002,10.031
KINT,139.2018702,-18.127536179,0.259,38.87,125.068,5.2330000000000005,21.211
NGET,16520.222,-4997.4411422460025,1630.762999999999,12936.191000000003,3721.393999999998,93.47900000000001,9719.974999999999
